code,description,orgcode,parent,stage,monitoringcode,source_sheet,id,fieldname,displaylable,fieldtype,fieldorder,ismandatory,datatype,mindatalength,maxdatalength,isvisible,issearchable,isactive,categorycode,fieldcode,categorycodefrom,categorycodeto,fromorg,toorg,orglevel,canclose,dependenton,finalcategory,destination,field_name,display_label,field_type,data_type,is_mandatory,is_visible,is_searchable,is_active,field_order,clean_text
1.0,Telecommunications,DOTEL,,1.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,telecommunication
2.0,Mobile Related,DOTEL,1.0,2.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile related
3.0,Pension Related,DOTEL,1.0,2.0,102.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pension related
4.0,Broadband Related,DOTEL,1.0,2.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,broadband related
5.0,Landline Related,DOTEL,1.0,2.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,landline related
6.0,Employee Related / Services Related,DOTEL,1.0,2.0,101.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,employee related service related
7.0,Tower Related,DOTEL,1.0,2.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tower related
8.0,Malpractices / Corruption / Complaint Related to financial irregularities,DOTEL,1.0,2.0,301.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malpractice corruption complaint related financial irregularity
9.0,Suggestions,DOTEL,1.0,2.0,2101.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,suggestion
10.0,Others,DOTEL,1.0,2.0,1799.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,others
11.0,Call Drop,DOTEL,2.0,3.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,call drop
12.0,Improper Network Coverage,DOTEL,2.0,3.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,improper network coverage
13.0,Data Speed lower than commited,DOTEL,2.0,3.0,506.0,Complaint Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data speed lower commited
