column,value,count
field_type,,46994
field_type,Textbox,2546
field_type,Dropdown,259
field_type,MessageFileUpload,22
field_type,Info,21
field_type,DropDown,18
field_type,Message,18
field_type,Date,6
field_type,dropdown,3
field_type,textbox,2
field_type,Number,1
field_type,info,1
data_type,,46994
data_type,Alnum,2130
data_type,AlNum,556
data_type,Date,130
data_type,Number,64
data_type,num,7
data_type,DateTime,4
data_type,Num,4
data_type,date,2
is_mandatory,,46994
is_mandatory,True,1914
is_mandatory,False,983
