Description,sentiment_label,urgency_score_v2,urgency_score,vader_compound,critical_kw_hits,negative_kw_hits
Telecommunications,Neutral,1.92,3.5,0.0,0,0
Mobile Related,Neutral,1.95,3.5,0.0,0,0
Pension Related,Neutral,1.95,3.5,0.0,0,0
Broadband Related,Neutral,1.95,3.5,0.0,0,0
Landline Related,Neutral,1.95,3.5,0.0,0,0
Employee Related / Services Related,Neutral,2.0,3.5,0.0,0,0
Tower Related,Neutral,1.95,3.5,0.0,0,0
Malpractices / Corruption / Complaint Related to financial irregularities,Negative,6.02,5.04,-0.296,0,1
Suggestions,Neutral,1.92,3.5,0.0,0,0
Others,Neutral,1.92,3.5,0.0,0,0
Call Drop,Negative,3.98,4.46,-0.2732,0,0
Improper Network Coverage,Neutral,1.97,3.5,0.0,0,0
Data Speed lower than commited,Negative,4.05,4.54,-0.296,0,0
Mobile Number Portability (MNP),Positive,0.7,3.23,0.0772,0,0
UCC related complaints,Negative,6.02,5.41,-0.4019,0,1
Activation/Deactivation of Value Added Services without explicit consent,Positive,0.68,2.85,0.1862,0,0
Activation/Deactivation/Fault of Sim Card,Neutral,1.99,3.5,0.0,0,0
AADHAR Linking/Documents verification,Neutral,1.97,3.5,0.0,0,0
Tariff / Recharge issue / Billing issue of Postpaid,Neutral,2.04,3.5,0.0,0,0
No Network Coverage,Negative,4.01,4.54,-0.296,0,0
Others,Neutral,1.92,3.5,0.0,0,0
Pension not started / Pension stopped,Positive,0.67,2.91,0.1695,0,0
Revision of Pension,Neutral,1.97,3.5,0.0,0,0
Miscalculation in Pension,Neutral,1.97,3.5,0.0,0,0
Adding beneficiary in PPO,Positive,0.45,1.83,0.4767,0,0
Others,Neutral,1.92,3.5,0.0,0,0
Delay in New BB Connection,Negative,6.0,5.11,-0.3182,0,1
Landline working but Internet not working/Frequent disconnection,Negative,5.82,4.0,0.0,0,1
Billing issue,Neutral,1.95,3.5,0.0,0,0
Speed lower than committed,Neutral,2.0,3.59,-0.0258,0,0
Others,Neutral,1.92,3.5,0.0,0,0
Delay or issue in providing New Telephone Connection/Shifting/Change of Name,Negative,6.05,5.11,-0.3182,0,1
New Connection,Neutral,1.95,3.5,0.0,0,0
Delay  in disconnection/closure,Negative,5.97,5.11,-0.3182,0,1
Denial of rent rebate during fault,Negative,4.12,4.91,-0.4019,0,0
Telephone Faulty/dead,Critical/Urgent,7.61,5.0,0.0,1,0
Security Refund,Positive,0.5,2.31,0.34,0,0
Billing issue,Neutral,1.95,3.5,0.0,0,0
Telephone not working properly,Negative,5.79,4.0,0.0,0,1
Others,Neutral,1.92,3.5,0.0,0,0
